"symbol","display_symbol","security","sector","sub_industry"
"0001.HK","0001","CK Hutchison Holdings Limited","Commerce & Industry",""
"0002.HK","0002","CLP Holdings Limited","Utilities",""
"0003.HK","0003","Hong Kong and China Gas Company Limited","Utilities",""
"0005.HK","0005","HSBC Holdings plc","Finance",""
"0006.HK","0006","Power Assets Holdings Limited","Utilities",""
"0012.HK","0012","Henderson Land Development Company Limited","Properties",""
"0016.HK","0016","Sun Hung Kai Properties Limited","Properties",""
"0027.HK","0027","Galaxy Entertainment Group Ltd.","Commerce & Industry",""
"0066.HK","0066","MTR Corporation Ltd","Commerce & Industry",""
"0101.HK","0101","Hang Lung Properties Limited","Properties",""
"0175.HK","0175","Geely Auto","Commerce & Industry",""
"0241.HK","0241","Alibaba Health","Commerce & Industry",""
"0267.HK","0267","CITIC Limited","Commerce & Industry",""
"0285.HK","0285","BYD Electronics","Commerce & Industry",""
"0288.HK","0288","WH Group","Commerce & Industry",""
"0291.HK","0291","China Resources Beer","Commerce & Industry",""
"0300.HK","0300","Midea Group","Commerce & Industry",""
"0316.HK","0316","Orient Overseas (International) Limited","Commerce & Industry",""
"0322.HK","0322","Tingyi","Commerce & Industry",""
"0386.HK","0386","Sinopec Corp","Commerce & Industry",""
"0388.HK","0388","HKEx Limited","Finance",""
"0669.HK","0669","Techtronic Industries","Commerce & Industry",""
"0688.HK","0688","China Overseas Land & Investment Limited","Properties",""
"0700.HK","0700","Tencent Holdings Limited","Commerce & Industry",""
"0762.HK","0762","China Unicom","Commerce & Industry",""
"0823.HK","0823","Link REIT","Properties",""
"0836.HK","0836","China Resources Power","Utilities",""
"0857.HK","0857","PetroChina Company Limited","Commerce & Industry",""
"0868.HK","0868","Xinyi Glass","Commerce & Industry",""
"0881.HK","0881","Zhongsheng Group","Commerce & Industry",""
"0883.HK","0883","CNOOC Limited","Commerce & Industry",""
"0939.HK","0939","China Construction Bank","Finance",""
"0941.HK","0941","China Mobile Ltd","Commerce & Industry",""
"0960.HK","0960","Longfor Properties","Properties",""
"0968.HK","0968","Xinyi Solar","Commerce & Industry",""
"0981.HK","0981","Semiconductor Manufacturing International Corporation","Commerce & Industry",""
"0992.HK","0992","Lenovo","Commerce & Industry",""
"1024.HK","1024","Kuaishou","Commerce & Industry",""
"1038.HK","1038","Cheung Kong Infrastructure Holdings Limited","Utilities",""
"1044.HK","1044","Hengan International Group Co. Ltd","Commerce & Industry",""
"1088.HK","1088","China Shenhua Energy","Commerce & Industry",""
"1093.HK","1093","CSPC Pharmaceutical Group","Commerce & Industry",""
"1099.HK","1099","Sinopharm Group","Commerce & Industry",""
"1109.HK","1109","China Resources Land Limited","Properties",""
"1113.HK","1113","CK Asset Holdings","Properties",""
"1177.HK","1177","Sino Biopharm","Commerce & Industry",""
"1209.HK","1209","China Resources Mixc Lifestyle","Properties",""
"1211.HK","1211","BYD Company","Commerce & Industry",""
"1299.HK","1299","AIA Group Limited","Finance",""
"1378.HK","1378","China Hongqiao Group","Commerce & Industry",""
"1398.HK","1398","Industrial and Commercial Bank of China","Finance",""
"1810.HK","1810","Xiaomi","Commerce & Industry",""
"1876.HK","1876","Budweiser Brewing Company APAC","Commerce & Industry",""
"1928.HK","1928","Sands China","Commerce & Industry",""
"1929.HK","1929","Chow Tai Fook","Commerce & Industry",""
"1997.HK","1997","Wharf Real Estate Investment Company Limited","Properties",""
"2015.HK","2015","Li Auto","Commerce & Industry",""
"2020.HK","2020","Anta Sports","Commerce & Industry",""
"2057.HK","2057","ZTO Express","Commerce & Industry",""
"2269.HK","2269","WuXi Biologics","Commerce & Industry",""
"2313.HK","2313","Shenzhou International","Commerce & Industry",""
"2318.HK","2318","Ping An Insurance","Finance",""
"2319.HK","2319","Mengniu Dairy","Commerce & Industry",""
"2331.HK","2331","Li-Ning","Commerce & Industry",""
"2359.HK","2359","WuXi AppTec","Commerce & Industry",""
"2382.HK","2382","Sunny Optical","Commerce & Industry",""
"2388.HK","2388","BOC Hong Kong (Holdings) Ltd","Finance",""
"2618.HK","2618","JD Logistics","Commerce & Industry",""
"2628.HK","2628","China Life","Finance",""
"2688.HK","2688","ENN Energy","Utilities",""
"2899.HK","2899","Zijin Mining","Commerce & Industry",""
"3690.HK","3690","Meituan","Commerce & Industry",""
"3692.HK","3692","Hansoh Pharmaceutical Group","Commerce & Industry",""
"3968.HK","3968","China Merchants Bank","Finance",""
"3988.HK","3988","Bank of China Ltd","Finance",""
"6618.HK","6618","JD Health","Commerce & Industry",""
"6690.HK","6690","Haier","Commerce & Industry",""
"6862.HK","6862","Haidilao","Commerce & Industry",""
"9618.HK","9618","JD.com","Commerce & Industry",""
"9633.HK","9633","Nongfu Spring","Commerce & Industry",""
"9888.HK","9888","Baidu","Commerce & Industry",""
"9961.HK","9961","Trip.com Group","Commerce & Industry",""
"9988.HK","9988","Alibaba Group","Commerce & Industry",""
"9992.HK","9992","Pop Mart","Commerce & Industry",""
"9999.HK","9999","NetEase","Commerce & Industry",""
